id,Hue,Sat ,Lum,sdHue,sdSat,sdBright,Entropy,ED
p1r00001.jpg,1.503162678,0.248000901,0.54401371,1.516761705,0.16015682,0.21639753,7.560045343,0.104991862
p1r00002.jpg,2.178208709,0.224004223,0.545132149,2.217820967,0.145341188,0.180772966,7.022845156,0.093361003
p1r00003.jpg,-2.526766773,0.147734721,0.549103465,1.343882023,0.141703298,0.238747617,7.628253822,0.101782227
p1r00004.jpg,-2.160526781,0.177407891,0.626479703,1.863602185,0.166172932,0.259045342,7.413299283,0.094575195
p1r00005.jpg,0.952139708,0.246620491,0.562286088,1.959104284,0.201824549,0.189645447,7.297526133,0.092789714
p1r00006.jpg,0.85855373,0.160902227,0.580202078,1.490742434,0.155770659,0.238324125,7.438856751,0.109695638
p1r00007.jpg,0.951631358,0.209728429,0.566341005,1.691856582,0.17963921,0.195281649,7.522881673,0.101442057
p1r00008.jpg,-0.026866007,0.183771772,0.611481299,2.103640357,0.196064691,0.251841072,7.583355191,0.108652344
p1r00009.jpg,-2.763950961,0.196878493,0.554547832,0.901773343,0.150811897,0.23085923,7.515973983,0.087862956
p1r00010.jpg,-2.76287541,0.218228287,0.558128562,1.058575249,0.160112898,0.212463314,7.500380655,0.085545247
p1r00011.jpg,-2.751744751,0.130509278,0.593384255,1.034137223,0.112928141,0.224460081,7.355345669,0.087200521
p1r00012.jpg,-2.581340243,0.156636376,0.589309743,1.144661965,0.134104849,0.199569082,7.315383878,0.082070313
p1r00013.jpg,2.663172792,0.172700525,0.478572598,1.757442321,0.139429694,0.171755864,7.202843683,0.123305664
p1r00014.jpg,-2.889680905,0.137331183,0.580818627,1.485513082,0.111629892,0.235506964,7.322970869,0.115310872
p1r00015.jpg,-2.950017757,0.132171829,0.525914816,1.88751739,0.128450412,0.172690784,7.249876258,0.097086589
p1r00016.jpg,-1.911689439,0.139730904,0.513447342,2.050161685,0.116872573,0.180929836,7.09305559,0.101176758
p1r00017.jpg,1.09534555,0.229790195,0.576232358,1.459494495,0.212529304,0.190230652,7.304019938,0.098847656
p1r00018.jpg,2.797517786,0.161074638,0.66800757,2.407784854,0.168687253,0.234661292,7.4517992,0.092503255
p1r00019.jpg,1.299619902,0.172927608,0.710081993,2.127672397,0.15707031,0.205180789,7.196474683,0.096852214
